ccx,cp,cx,depth,entropy,h,label,name,rx,rz,success_rate,swap,total_gates,unique_states,x
0,0,0,3,0.0987237693454034,7,0,bv_clean_0,0,0,98.974609375,0,11,4,1
0,0,1,5,0.2194203774373503,7,0,bv_clean_1,0,0,97.1923828125,0,12,5,1
0,0,1,5,0.2004295958130864,7,0,bv_clean_2,0,0,97.5341796875,0,12,4,1
0,0,2,6,0.3731694470416961,7,0,bv_clean_3,0,0,95.01953125,0,13,6,1
0,0,1,5,0.19773179517194,7,0,bv_clean_4,0,0,97.509765625,0,12,5,1
0,0,2,6,0.3758288311433154,7,0,bv_clean_5,0,0,95.0439453125,0,13,6,1
0,0,2,6,0.3678852812162519,7,0,bv_clean_6,0,0,95.1416015625,0,13,5,1
0,0,3,7,0.5752998801938957,7,0,bv_clean_7,0,0,92.0654296875,0,14,8,1
0,0,2,6,0.3926675529156994,7,0,bv_clean_8,0,0,94.7265625,0,13,6,1
0,0,2,6,0.3814248293063216,7,0,bv_clean_9,0,0,94.873046875,0,13,6,1
0,0,0,4,0.1413824894179973,6,1,bv_malicious_0,0,0,98.4130859375,0,12,4,1
0,0,0,4,1.0916443375092413,7,1,bv_malicious_1,0,0,50.6103515625,0,12,6,0
0,0,1,4,0.2494878646003082,6,1,bv_malicious_2,0,0,96.97265625,0,12,5,0
1,0,0,4,1.377760637785034,6,1,bv_malicious_3,0,0,76.7578125,0,12,8,0
0,0,0,4,0.1817442716365289,6,1,bv_malicious_4,0,0,97.8759765625,0,12,5,0
0,0,1,4,0.1706464135629671,6,1,bv_malicious_5,0,0,98.0712890625,0,12,6,0
0,0,0,4,0.1219455684020182,6,1,bv_malicious_6,0,0,98.681640625,0,12,4,0
0,0,0,4,1.0790782401177266,6,1,bv_malicious_7,0,0,50.6103515625,0,12,6,0
0,0,0,4,0.1161838555160035,6,1,bv_malicious_8,0,0,98.7548828125,0,13,4,2
0,0,0,4,2.999467452799509,9,1,bv_malicious_9,0,0,13.1591796875,0,14,8,0
0,0,0,3,1.1139843373539984,7,0,dj_clean_0,0,0,49.6826171875,0,13,8,1
0,0,0,4,1.1036180880348605,7,0,dj_clean_1,0,0,50.2197265625,0,14,8,2
0,0,0,3,1.1114134182739572,7,0,dj_clean_2,0,0,49.853515625,0,13,8,1
0,0,2,6,1.3904989312584737,7,0,dj_clean_3,0,0,48.5595703125,0,15,10,1
0,0,0,3,1.102320421850383,7,0,dj_clean_4,0,0,49.755859375,0,13,8,1
0,0,0,4,1.107208394805958,7,0,dj_clean_5,0,0,49.9755859375,0,14,9,2
0,0,0,3,1.1025066093489833,7,0,dj_clean_6,0,0,51.708984375,0,13,8,1
0,0,2,6,1.4097668424467815,7,0,dj_clean_7,0,0,47.9736328125,0,15,14,1
0,0,0,3,1.1024618654185994,7,0,dj_clean_8,0,0,50.4150390625,0,13,8,1
