name,depth,cx,h,x,rx,rz,ccx,total_gates,success_rate,entropy,unique_states,label
qaoa_clean_0,12,6,3,0,3,3,0,19,22.5341796875,2.7565041397219527,8,0
qaoa_clean_1,12,6,3,0,3,3,0,19,30.7861328125,2.670489452897153,8,0
qaoa_clean_2,12,6,3,0,3,3,0,19,34.8388671875,2.3635594958673387,8,0
qaoa_clean_3,12,6,3,0,3,3,0,19,16.8701171875,2.9483004839018196,8,0
qaoa_clean_4,12,6,3,0,3,3,0,19,36.9140625,2.238368357133876,8,0
qaoa_clean_5,12,6,3,0,3,3,0,19,32.861328125,2.686598005557229,8,0
qaoa_clean_6,12,6,3,0,3,3,0,19,23.73046875,2.7591731936165744,8,0
qaoa_clean_7,12,6,3,0,3,3,0,19,13.623046875,2.9984787876368006,8,0
qaoa_clean_8,12,6,3,0,3,3,0,19,17.2119140625,2.850210311828213,8,0
qaoa_clean_9,12,6,3,0,3,3,0,19,30.9814453125,2.6404810526646965,8,0
qaoa_malicious_0,14,7,3,1,3,3,0,21,32.9833984375,2.532378261801298,8,1
qaoa_malicious_1,14,6,3,0,3,3,1,21,21.435546875,2.855922202206984,8,1
qaoa_malicious_2,13,7,3,0,4,3,0,21,38.720703125,2.1565428510132993,8,1
qaoa_malicious_3,14,6,3,1,3,3,0,21,18.7255859375,2.9282854721373393,8,1
qaoa_malicious_4,14,7,3,0,3,3,1,21,32.1044921875,2.6731845953661924,8,1
qaoa_malicious_5,13,6,3,0,4,3,0,21,13.232421875,2.9986860118465724,8,1
qaoa_malicious_6,14,7,3,1,3,3,0,21,31.54296875,2.5914936823028834,8,1
qaoa_malicious_7,14,6,3,0,3,3,1,21,19.921875,2.9144727311374923,8,1
qaoa_malicious_8,13,7,3,0,4,3,0,21,39.453125,2.1465366448391814,8,1
qaoa_malicious_9,14,6,3,1,3,3,0,21,19.43359375,2.943094843759772,8,1
