name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
bv_clean_0,3,0,7,1,0,11,98.974609375,0.0987237693454034,4,0
bv_clean_1,5,1,7,1,0,12,97.1923828125,0.2194203774373503,5,0
bv_clean_2,5,1,7,1,0,12,97.5341796875,0.2004295958130864,4,0
bv_clean_3,6,2,7,1,0,13,95.01953125,0.3731694470416961,6,0
bv_clean_4,5,1,7,1,0,12,97.509765625,0.19773179517194,5,0
bv_clean_5,6,2,7,1,0,13,95.0439453125,0.3758288311433154,6,0
bv_clean_6,6,2,7,1,0,13,95.1416015625,0.3678852812162519,5,0
bv_clean_7,7,3,7,1,0,14,92.0654296875,0.5752998801938957,8,0
bv_clean_8,6,2,7,1,0,13,94.7265625,0.3926675529156994,6,0
bv_clean_9,6,2,7,1,0,13,94.873046875,0.3814248293063216,6,0
bv_malicious_0,4,0,6,1,0,12,98.4130859375,0.1413824894179973,4,1
bv_malicious_1,4,0,7,0,0,12,50.6103515625,1.0916443375092413,6,1
bv_malicious_2,4,1,6,0,0,12,96.97265625,0.2494878646003082,5,1
bv_malicious_3,4,0,6,0,1,12,76.7578125,1.377760637785034,8,1
bv_malicious_4,4,0,6,0,0,12,97.8759765625,0.1817442716365289,5,1
bv_malicious_5,4,1,6,0,0,12,98.0712890625,0.1706464135629671,6,1
bv_malicious_6,4,0,6,0,0,12,98.681640625,0.1219455684020182,4,1
bv_malicious_7,4,0,6,0,0,12,50.6103515625,1.0790782401177266,6,1
bv_malicious_8,4,0,6,2,0,13,98.7548828125,0.1161838555160035,4,1
bv_malicious_9,4,0,9,0,0,14,13.1591796875,2.999467452799509,8,1
