name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
bv_malicious_0,4,0,6,1,0,12,98.4130859375,0.1413824894179973,4,1
bv_malicious_1,4,0,7,0,0,12,50.6103515625,1.0916443375092413,6,1
bv_malicious_2,4,1,6,0,0,12,96.97265625,0.24948786460030828,5,1
bv_malicious_3,4,0,6,0,1,12,76.7578125,1.377760637785034,8,1
bv_malicious_4,4,0,6,0,0,12,97.8759765625,0.18174427163652895,5,1
bv_malicious_5,4,1,6,0,0,12,98.0712890625,0.17064641356296717,6,1
bv_malicious_6,4,0,6,0,0,12,98.681640625,0.1219455684020182,4,1
bv_malicious_7,4,0,6,0,0,12,50.6103515625,1.0790782401177266,6,1
bv_malicious_8,4,0,6,2,0,13,98.7548828125,0.11618385551600355,4,1
bv_malicious_9,4,0,9,0,0,14,13.1591796875,2.999467452799509,8,1
