name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
dj_clean_0,3,0,7,1,0,13,49.6826171875,1.1139843373539984,8,0
dj_clean_1,4,0,7,2,0,14,50.2197265625,1.1036180880348603,8,0
dj_clean_2,3,0,7,1,0,13,49.853515625,1.1114134182739572,8,0
dj_clean_3,6,2,7,1,0,15,48.5595703125,1.3904989312584735,10,0
dj_clean_4,3,0,7,1,0,13,49.755859375,1.102320421850383,8,0
dj_clean_5,4,0,7,2,0,14,49.9755859375,1.1072083948059581,9,0
dj_clean_6,3,0,7,1,0,13,51.708984375,1.1025066093489833,8,0
dj_clean_7,6,2,7,1,0,15,47.9736328125,1.4097668424467817,14,0
dj_clean_8,3,0,7,1,0,13,50.4150390625,1.1024618654185994,8,0
dj_clean_9,4,0,7,2,0,14,49.4384765625,1.1061867892630939,8,0
