name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
dj_malicious_0,7,2,7,4,0,18,47.94921875,1.3372189270582389,11,1
dj_malicious_1,7,3,7,1,0,16,47.3876953125,1.449411320117722,13,1
dj_malicious_2,5,1,7,2,0,16,48.8525390625,1.210869634830378,8,1
dj_malicious_3,6,3,7,3,0,18,47.1923828125,1.5194567539644963,15,1
dj_malicious_4,7,2,7,2,0,16,61.5966796875,1.2294264124159657,10,1
dj_malicious_5,6,2,7,1,0,16,48.291015625,1.3169016122179635,11,1
dj_malicious_6,7,2,7,4,0,18,48.4130859375,1.3723432693502917,10,1
dj_malicious_7,7,3,7,1,0,16,47.9736328125,1.5286659308645467,13,1
dj_malicious_8,5,1,7,2,0,16,48.779296875,1.2560070508909575,9,1
dj_malicious_9,6,3,7,3,0,18,48.6083984375,1.4529878650550594,15,1
