name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
grover_clean_0,12,0,11,12,2,29,16.650390625,2.9233331334242427,8,0
grover_clean_1,11,0,11,10,2,27,18.359375,2.9323535705253136,8,0
grover_clean_2,12,0,11,10,2,27,16.11328125,2.985350111494117,8,0
grover_clean_3,11,0,11,8,2,25,18.9453125,2.940775565240063,8,0
grover_clean_4,12,0,11,10,2,27,18.9453125,2.9374107811230705,8,0
grover_clean_5,11,0,11,8,2,25,18.1884765625,2.95196936479208,8,0
grover_clean_6,12,0,11,8,2,25,21.728515625,2.9187482093905426,8,0
grover_clean_7,10,0,11,6,2,23,17.4560546875,2.9738834372530065,8,0
grover_clean_8,10,0,11,6,1,23,52.5634765625,1.619115478101448,8,0
grover_clean_9,10,0,11,6,1,23,45.2880859375,1.6848938382464314,8,0
grover_malicious_0,9,1,5,6,1,18,18.798828125,2.94815675796871,8,1
grover_malicious_1,9,0,5,6,2,18,15.72265625,2.9631972127485304,8,1
grover_malicious_2,8,1,5,8,1,20,19.384765625,2.9442801040227717,8,1
grover_malicious_3,9,1,5,6,2,18,17.08984375,2.9573526011559528,8,1
grover_malicious_4,9,0,5,6,2,18,15.5517578125,2.974604037616395,8,1
grover_malicious_5,9,1,5,8,1,20,18.212890625,2.964026363231068,8,1
grover_malicious_6,8,1,5,6,1,18,14.599609375,2.989419794463512,8,1
grover_malicious_7,9,0,5,6,3,18,17.28515625,2.976822685962468,8,1
grover_malicious_8,9,1,5,8,1,20,14.013671875,2.9925619186498245,8,1
grover_malicious_9,9,1,5,6,1,18,16.6748046875,2.972261575309151,8,1
