name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
grover_clean_0,12,0,11,12,2,29,16.650390625,2.9233331334242427,8,0
grover_clean_1,11,0,11,10,2,27,18.359375,2.9323535705253136,8,0
grover_clean_2,12,0,11,10,2,27,16.11328125,2.9853501114941166,8,0
grover_clean_3,11,0,11,8,2,25,18.9453125,2.940775565240063,8,0
grover_clean_4,12,0,11,10,2,27,18.9453125,2.9374107811230705,8,0
grover_clean_5,11,0,11,8,2,25,18.1884765625,2.9519693647920797,8,0
grover_clean_6,12,0,11,8,2,25,21.728515625,2.9187482093905426,8,0
grover_clean_7,10,0,11,6,2,23,17.4560546875,2.9738834372530065,8,0
grover_clean_8,10,0,11,6,1,23,52.5634765625,1.619115478101448,8,0
grover_clean_9,10,0,11,6,1,23,45.2880859375,1.6848938382464314,8,0
