name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
grover_malicious_0,9,1,5,6,1,18,18.798828125,2.94815675796871,8,1
grover_malicious_1,9,0,5,6,2,18,15.72265625,2.9631972127485304,8,1
grover_malicious_2,8,1,5,8,1,20,19.384765625,2.9442801040227713,8,1
grover_malicious_3,9,1,5,6,2,18,17.08984375,2.9573526011559528,8,1
grover_malicious_4,9,0,5,6,2,18,15.5517578125,2.974604037616395,8,1
grover_malicious_5,9,1,5,8,1,20,18.212890625,2.964026363231068,8,1
grover_malicious_6,8,1,5,6,1,18,14.599609375,2.9894197944635117,8,1
grover_malicious_7,9,0,5,6,3,18,17.28515625,2.9768226859624676,8,1
grover_malicious_8,9,1,5,8,1,20,14.013671875,2.9925619186498245,8,1
grover_malicious_9,9,1,5,6,1,18,16.6748046875,2.972261575309151,8,1
