name,depth,cx,h,x,cp,swap,ccx,total_gates,success_rate,entropy,unique_states,label
qft_malicious_0,7,0,3,2,3,0,0,12,14.84375,2.989963194686645,8,1
qft_malicious_1,9,2,3,0,3,1,0,13,15.8935546875,2.975786402809084,8,1
qft_malicious_2,10,0,3,0,3,0,3,13,19.1650390625,2.867659809006562,8,1
qft_malicious_3,8,0,3,2,3,1,0,13,22.9248046875,2.758179606030501,8,1
qft_malicious_4,8,2,3,0,3,0,0,12,13.6474609375,2.9983890161367226,8,1
qft_malicious_5,11,0,3,0,3,1,3,14,18.9208984375,2.870630458966693,8,1
qft_malicious_6,7,0,3,2,3,0,0,12,21.826171875,2.828029014690247,8,1
qft_malicious_7,9,2,3,0,3,1,0,13,13.8427734375,2.995982850977106,8,1
qft_malicious_8,10,0,3,0,3,0,3,13,19.6044921875,2.8604862295995974,8,1
qft_malicious_9,8,0,3,2,3,1,0,13,14.6484375,2.991021697921163,8,1
