name,depth,cx,h,x,cp,swap,ccx,total_gates,success_rate,entropy,unique_states,label
shor_clean_0,10,2,6,0,2,1,1,17,21.826171875,3.1934421070275425,16,0
shor_clean_1,10,2,6,0,2,1,1,17,22.1435546875,3.2860845073167875,16,0
shor_clean_2,10,2,6,0,2,1,1,17,23.3642578125,3.392351018481259,16,0
shor_clean_3,10,2,6,0,2,1,1,17,22.607421875,3.46842357769348,16,0
shor_clean_4,10,2,6,0,2,1,1,17,21.5576171875,3.4773565119187646,16,0
shor_clean_5,10,2,6,0,2,1,1,17,20.8251953125,3.4345060629253426,16,0
shor_clean_6,10,2,6,0,2,1,1,17,22.1435546875,3.3537656713839525,16,0
shor_clean_7,10,2,6,0,2,1,1,17,19.384765625,3.610579471878629,16,0
shor_clean_8,10,2,6,0,2,1,1,17,21.97265625,3.231230359299564,16,0
shor_clean_9,10,2,6,0,2,1,1,17,21.826171875,3.294337565851395,16,0
