name,depth,cx,h,x,cp,swap,ccx,total_gates,success_rate,entropy,unique_states,label
shor_malicious_0,7,1,5,2,1,1,1,16,11.9873046875,3.7742887516496704,16,1
shor_malicious_1,6,2,5,1,2,0,0,15,13.6474609375,3.1172520508345087,16,1
shor_malicious_2,7,0,5,1,2,1,1,15,42.96875,2.1014698586138425,15,1
shor_malicious_3,7,1,5,2,1,0,1,15,15.966796875,3.4250538617707083,16,1
shor_malicious_4,8,2,5,1,2,1,0,16,19.3359375,3.0258750958153184,16,1
shor_malicious_5,6,0,5,1,2,0,1,14,43.8720703125,1.7854581387130481,16,1
shor_malicious_6,7,1,5,2,1,1,1,16,13.3056640625,3.7709263100100396,16,1
shor_malicious_7,6,2,5,1,2,0,0,15,14.404296875,3.081290719119583,16,1
shor_malicious_8,7,0,5,1,2,1,1,15,45.947265625,2.03306111009737,16,1
shor_malicious_9,7,1,5,2,1,0,1,15,14.0380859375,3.5206993334337366,16,1
